Year,Date,Avg
2020,10/10/2020,20.67
2020,10/11/2020,20.25
2020,10/12/2020,16.12
2020,10/13/2020,14.19
2020,10/14/2020,16.60
2020,10/15/2020,10.78
2020,10/16/2020,7.40
2020,10/17/2020,10.02
2020,10/18/2020,10.62
2020,10/19/2020,8.98
2020,10/20/2020,10.64
2020,10/21/2020,13.10
2020,10/22/2020,19.66
2020,10/23/2020,13.22
2020,10/24/2020,5.98
2020,10/25/2020,7.38
2020,10/26/2020,3.74
2020,10/27/2020,4.50
2020,10/28/2020,7.54
2020,10/29/2020,6.86
2020,10/30/2020,3.12
2020,10/31/2020,7.01
2020,11/1/2020,3.38
2020,11/2/2020,2.15
2020,11/3/2020,9.26
2020,11/4/2020,13.11
2020,11/5/2020,13.31
2020,11/6/2020,13.32
2020,11/7/2020,13.37
2020,11/8/2020,17.21
2020,11/9/2020,18.48
2020,11/10/2020,18.17
2020,11/11/2020,4.94
2020,11/12/2020,5.21
2020,11/13/2020,2.83
2020,11/14/2020,4.19
2020,11/15/2020,7.99
2020,11/16/2020,5.65
2020,11/17/2020,2.45
2020,11/18/2020,3.71
2020,11/19/2020,10.76
2020,11/20/2020,13.31
2020,11/21/2020,7.07
2020,11/22/2020,3.59
2020,11/23/2020,3.24
2020,11/24/2020,5.98
2020,11/25/2020,9.84
2020,11/26/2020,5.46
2020,11/27/2020,3.51
2020,11/28/2020,1.68
2020,11/29/2020,3.18
2020,11/30/2020,-0.48
2020,12/1/2020,-3.22
2020,12/2/2020,-0.47
2020,12/3/2020,1.15
2020,12/4/2020,1.59
2020,12/5/2020,0.51
2020,12/6/2020,-0.82
2020,12/7/2020,0.65
2020,12/8/2020,0.49
2020,12/9/2020,4.75
2020,12/10/2020,5.61
2020,12/11/2020,8.23
2020,12/12/2020,6.31
2020,12/13/2020,0.30
2020,12/14/2020,-2.77
2020,12/15/2020,-2.58
2020,12/16/2020,-2.06
2020,12/17/2020,-1.74
2020,12/18/2020,-0.88
2020,12/19/2020,2.19
2020,12/20/2020,0.23
2020,12/21/2020,3.00
2020,12/22/2020,1.08
2020,12/23/2020,5.48
2020,12/24/2020,-7.22
2020,12/25/2020,-9.28
2020,12/26/2020,-3.65
2020,12/27/2020,1.97
2020,12/28/2020,-2.22
2020,12/29/2020,-2.98
2020,12/30/2020,0.46
2020,12/31/2020,-3.34
2021,1/1/2021,-0.45
2021,1/2/2021,-0.81
2021,1/3/2021,-1.76
2021,1/4/2021,-1.75
2021,1/5/2021,-0.75
2021,1/6/2021,-1.73
2021,1/7/2021,-1.37
2021,1/8/2021,-0.81
2021,1/9/2021,-2.53
2021,1/10/2021,-4.05
2021,1/11/2021,-5.04
2021,1/12/2021,-1.05
2021,1/13/2021,1.82
2021,1/14/2021,1.04
2021,1/15/2021,-0.93
2021,1/16/2021,-0.63
2021,1/17/2021,-1.92
2021,1/18/2021,-2.14
2021,1/19/2021,-2.13
2021,1/20/2021,-3.77
2021,1/21/2021,1.19
2021,1/22/2021,-4.95
2021,1/23/2021,-5.77
2021,1/24/2021,-0.64
2021,1/25/2021,-1.03
2021,1/26/2021,-1.19
2021,1/27/2021,-5.34
2021,1/28/2021,-6.95
2021,1/29/2021,-4.07
2021,1/30/2021,-0.83
2021,1/31/2021,-0.10
2021,2/1/2021,-4.81
2021,2/2/2021,-6.44
2021,2/3/2021,-6.31
2021,2/4/2021,-1.92
2021,2/5/2021,-8.27
2021,2/6/2021,-11.42
2021,2/7/2021,-17.94
2021,2/8/2021,-11.27
2021,2/9/2021,-11.71
2021,2/10/2021,-9.69
