sample_no,grain_length,grain_weight
420,6.16,37.97
421,6.13,45.53
422,6.26,36.59
423,6.29,37.86
424,5.28,29.58
425,5.78,41.83
426,5.42,27.63
427,5.86,34.98
428,6.11,37.97
429,6.39,32.05
430,6.75,55.17
431,6.4,43.6
432,6.28,50.55
433,6.5,56.81
434,6.32,46.18
435,6.83,54.49
436,6.31,34.76
437,6.26,43.1
438,5.32,27.16
439,6.79,55.17
440,6.31,34.51
441,5.78,30.73
442,6.3,34.13
443,5.1,21.49
444,6.63,50.46
445,6.5,45.39
446,6.2,42.14
447,5.73,40.85
448,6.14,47.91
449,5.91,33.52
450,6.31,46.27
451,6.87,57.53
452,6.44,47.94
453,5.34,37.46
454,7.89,58.75
455,6.32,48.21
456,5.53,28.95
457,5.49,25.26
458,5.72,34.87
459,6.55,37.41
460,5.86,35.23
461,6.08,36.99
462,6.47,53.26
463,5.78,29.93
464,4.99,22.51
465,5.62,34.29
466,4.88,19.91
467,6.71,40.5
468,6.44,35.15
469,6.31,34.98
470,6.48,47.13
471,6.33,44.27
472,5.2,26.31
473,5.87,35.42
474,5.22,24.06
475,6.32,47.19
476,5.38,23.23
477,6.76,42.93
478,6.72,46.72
479,5.78,28.89
480,5.93,42.29
481,5.01,24.26
482,6.35,43.8
483,6.39,41.6
484,6.2,40.02
485,6.11,47.97
486,6.55,54.06
487,6.41,34.4
488,6.36,45.56
489,6.2,44.71
490,6.43,37.24
491,6.53,50.7
492,6.5,42.52
493,5.98,43.8
494,6.55,56.04
495,6.2,39.19
496,6.15,32.32
497,6.16,28.21
498,5.94,32.78
499,6.13,40.3
500,6.16,40.67
501,5.82,37.77
502,6.25,40.79
503,6.24,39.93
504,6.31,51.49
505,6.07,41.05
506,5.43,28.16
507,4.84,22.68
508,6.94,57.87
509,6.62,46.87
510,6.47,39.13
511,5.33,27.56
512,6.31,47.04
513,5.6,23.13
514,6.7,54.34
515,6.13,33.3
516,6.17,34.65
517,6.43,46.6
518,6.85,55.05
519,6.55,51.01
520,5.22,26.39
521,4.95,22.23
522,6.58,40.47
523,6.55,47.04
524,5.14,25.18
525,6.43,50.8
526,5.07,22.98
527,6.58,53.48
528,5.84,39.13
529,5.2,28.89
530,5.3,24.87
531,6.26,53.69
532,6.2,47.91
533,5.95,35.31
534,5.77,35.4
535,6.2,32.89
536,6.08,45.36
537,6.37,42.87
538,5.73,28.34
539,6.03,34.35
540,6.32,38.25
541,5.61,32.65
542,6.35,55.2
543,5.91,28.45
544,5.98,38.25
545,5.73,37.55
546,6.02,29.13
547,5.87,39.08
548,5.23,28.92
549,6.51,44.86
550,6.5,44.86
551,5.42,27.9
552,6.21,43.39
553,6.72,54.8
554,5.54,30.36
555,6.26,43.71
556,6.48,53.75
557,5.82,38
558,6.19,43.83
559,5.49,26.64
560,6.65,51.71
561,5.84,36.4
562,6.28,53.29
563,6.5,43.19
564,6.55,42.26
565,6.01,39.25
566,4.78,20.44
567,6.37,44.01
568,5.87,36.62
569,6.61,46.24
570,5.62,27.56
571,6.75,50.86
572,5.65,36.29
573,6.19,31.16
574,6.8,52.77
575,6.53,45.8
576,4.36,22.38
577,6.92,43.74
578,5.81,36.45
579,5.4,30.33
580,6.92,50.01
581,6.04,32.3
582,6.75,47.55
583,6.34,35.84
584,6.49,47.67
585,6.42,60.61
586,6.43,49.74
587,6.39,49.2
588,6.32,41.74
589,5.49,30.06
590,6.5,45.36
591,6.55,44.12
592,6.69,40.36
593,6.23,30.44
594,6.55,42.96
595,6.13,34.24
596,6.97,59.35
597,6.55,52.77
598,6.16,43.22
599,6.01,32.65
600,6.13,34.7
601,5.39,29.72
602,5.51,31.38
603,6.45,38.31
604,6.83,48
605,5.98,37.55
606,6.45,44.09
607,6.81,56.56
608,5.3,31.27
609,6.33,33.66
610,6.21,37.72
611,6.83,50.4
612,6.42,35.15
613,6.55,44.77
614,6.36,36.51
615,6.53,49.74
616,4.91,38.83
617,5.87,40.19
618,4.91,38.83
619,5.87,40.19
620,6.11,38.34
621,5.47,31.81
622,6.16,41.83
623,6.98,61.21
624,5.66,43.34
625,6.82,57.53
626,6.05,42.72
627,6.49,54.03
628,5.96,42.75
629,6.32,43.51
630,6.95,45.3
631,6.21,49.2
632,6.56,51.04
633,6.84,53.08
634,6.57,61.02
635,6.52,41.71
636,6.87,50.58
637,5.8,33.74
638,5.88,35.48
639,6.67,52.86
640,6.65,48.36
641,6.21,46.18
642,6.79,49.44
643,6.01,38.08
644,6.32,51.16
645,4.62,19.89
646,6.4,45.48
647,6.85,46.33
648,7.09,54.55
649,7.28,60.55
650,6.42,50.34
651,6.34,44.8
652,6.39,33.66
653,6.13,39.96
654,6.13,39.36
655,7.13,58.78
656,6.47,47.49
657,5.96,32.92
658,6.28,46.69
659,6.39,47.01
660,6.37,45.74
661,6.02,30.49
662,6.85,51.16
663,6.38,53.6
664,6.32,50.83
665,6.79,56.47
666,5.5,32.19
667,6.04,37.8
668,6.65,52.01
669,6.34,41.6
670,6.39,49.95
671,5.87,35.04
672,6.43,50.43
673,6.53,36.29
674,6.5,39.84
675,6.26,35.15
676,5.61,29.05
677,6.55,45.53
678,6.11,37.04
679,6.79,55.88
680,6.79,54.03
681,7.05,57.31
682,6.71,34.87
683,6.39,35.7
684,6.82,46.9
685,6.62,53.81
686,6.61,52.8
687,6.8,53.2
688,6.87,50.1
689,6.39,48.66
690,6.76,46.9
691,5.23,20.76
692,6.29,40.36
693,6,39.64
694,6.91,55.23
695,6.72,50.58
696,6.79,53.85
697,6.67,32.89
698,7.36,62.29
699,7.14,57.25
700,6.5,45.36
701,6.55,52.35
702,6.53,53.91
703,6.23,42.14
704,6.74,52.8
705,6.26,39.47
706,6.57,51.4
707,7.15,52.1
708,6.11,48.3
709,6.49,47.16
710,6.28,42.87
711,6.64,44.59
712,6.45,48.42
713,6.62,49.08
714,6.69,52.44
715,6.38,43.6
716,6.58,47.76
717,6.79,35.42
718,6.72,50.4
719,6.28,41.34
720,6.69,52.71
721,6.69,44.42
722,6.85,56.35
723,6.4,48.81
724,6.06,41.62
725,6.63,54.98
726,6.68,33.69
727,6.29,43.45
728,6.2,43.83
729,6.42,43.86
730,7.11,57.66
731,5.48,26.41
732,6.92,55.2
733,6.53,52.93
734,6.72,44.56
735,6.21,39.47
736,5.51,29.53
737,6.28,38.82
738,5.91,36.09
739,5.99,37.8
740,6.19,44.33
741,5.63,31.11
742,6.55,47.7
743,6.37,39.53
744,6.98,60.58
745,6.5,46.33
746,6.45,36.04
747,6.64,34.46
748,6.19,41.22
749,6.92,55.23
750,6.69,51.19
751,5.3,22.98
752,6.65,53.11
753,6.74,52.47
754,6.84,50.52
755,6.8,39.99
756,6.67,54.65
757,6.46,43.13
758,6.42,40.9
759,6.72,53.14
760,6.45,34.32
761,6.72,53.29
762,6.45,43.63
763,6.42,45.48
764,6.26,42.38
765,5.75,31.78
766,6.75,35.45
767,6.26,44.5
768,6.97,40.67
769,6.14,45.06
770,6.5,34.13
771,6.39,41.16
772,6.92,49.62
773,6.5,51.46
774,6.06,32.76
775,6.5,50.73
776,6.17,43.39
777,5.87,34.73
778,6.13,38.28
779,6.53,52.65
780,6.5,40.27
781,5.72,35.31
782,6.37,42.23
783,6.34,30.33
784,6.17,46.39
785,6.36,43.95
786,6.57,33.03
787,5.88,34.32
788,6.55,50.22
