Year,Date,planting_date,Max,Min,Avg
2024,31-Jul,Apr_15,30.01,22.12,25.98
2024,1-Aug,Apr_15,29,21.62,25.07
2024,2-Aug,Apr_15,25.98,20.93,23.36
2024,3-Aug,Apr_15,30.28,19.44,25.74
2024,4-Aug,Apr_15,30.19,20.57,25.82
2024,5-Aug,Apr_15,31.25,21.91,26.34
2024,6-Aug,Apr_15,30,19.03,24.5
2024,7-Aug,Apr_15,25.42,17.27,21.06
2024,8-Aug,Apr_15,26.33,16.85,21.73
2024,9-Aug,Apr_15,22.5,14.02,19.09
2024,10-Aug,Apr_15,23.08,11.74,17.64
2024,11-Aug,Apr_15,24.35,12.33,18.95
2024,12-Aug,Apr_15,25.28,14.88,20.33
2024,13-Aug,Apr_15,25.8,16.43,21.23
2024,14-Aug,Apr_15,27.57,15.75,21.8
2024,15-Aug,Apr_15,25.93,18.29,22.05
2024,16-Aug,Apr_15,29.22,22.46,25.38
2024,17-Aug,Apr_15,26.22,20.16,22.98
2024,18-Aug,Apr_15,25.62,18.07,21.94
2024,19-Aug,Apr_15,24.38,14.12,19.3
2024,20-Aug,Apr_15,22.16,12.55,17.05
2024,21-Aug,Apr_15,22.56,10.44,16.26
2024,22-Aug,Apr_15,23.75,9.43,16.8
2024,23-Aug,Apr_15,27.03,10.63,19.66
2024,24-Aug,Apr_15,30.65,17.8,24.12
2024,25-Aug,Apr_15,30.26,18.69,24.34
2024,26-Aug,Apr_15,31.73,19.87,25.57
2024,27-Aug,Apr_15,32.83,21.37,27.31
2024,28-Aug,Apr_15,30.08,22.55,25.65
2024,29-Aug,Apr_15,31.85,20.73,26.25
2024,30-Aug,Apr_15,32.47,21.75,26.4
2024,31-Aug,Apr_15,26.4,16.95,21.94
2024,1-Sep,Apr_15,26.58,13.8,19.62
2024,2-Sep,Apr_15,22.51,11.44,16.54
2024,3-Sep,Apr_15,22.61,9.95,15.78
2024,4-Sep,Apr_15,27.94,9.59,19.62
2024,5-Sep,Apr_15,29.23,17.38,23.26
2024,6-Sep,Apr_15,24.36,12.48,19.67
2024,7-Sep,Apr_15,19.17,8.83,13.6
2024,8-Sep,Apr_15,20.29,6.68,13.87
2024,9-Sep,Apr_15,24.08,7.74,16.55
2024,10-Sep,Apr_15,26.81,11.37,20.01
2024,11-Sep,Apr_15,28.62,13.94,20.71
2024,12-Sep,Apr_15,29.2,12.62,20.86
2024,2-May,May_2,27.81,13.56,20.92
2024,3-May,May_2,24.53,13.27,19.73
2024,4-May,May_2,27.52,11.51,20.08
2024,5-May,May_2,22.48,11.61,16.68
2024,6-May,May_2,24.88,11.01,18.26
2024,7-May,May_2,26.94,15.52,20.9
2024,8-May,May_2,26.94,13.7,20.82
2024,9-May,May_2,22.72,11.51,18.41
2024,10-May,May_2,20.47,9.01,15.17
2024,11-May,May_2,22.39,11.42,16.68
2024,12-May,May_2,27.05,11.6,19.48
2024,13-May,May_2,25.19,14.85,19.52
2024,14-May,May_2,19.4,14.27,17.14
2024,15-May,May_2,23.83,12.59,18.05
2024,16-May,May_2,22.55,12.29,17.7
2024,17-May,May_2,25.52,16.03,20.61
2024,18-May,May_2,27.63,14.91,21.99
2024,19-May,May_2,29.95,16.76,24.07
2024,20-May,May_2,29.02,17.8,23.45
2024,21-May,May_2,29.56,19.31,24.58
2024,22-May,May_2,24.74,15.28,20.09
2024,23-May,May_2,26.77,12.47,20.44
2024,24-May,May_2,26.78,17.51,21.96
2024,25-May,May_2,25.23,14.67,20.19
2024,26-May,May_2,24.26,14.65,19.62
2024,27-May,May_2,24.09,14.69,18.87
2024,28-May,May_2,23.94,12.71,18.41
2024,29-May,May_2,22.13,10.62,16.75
2024,30-May,May_2,23.81,8.26,16.76
2024,31-May,May_2,24.4,12.02,18.64
2024,1-Jun,May_2,23.44,15.15,18.9
2024,2-Jun,May_2,24.54,15.55,19.82
2024,3-Jun,May_2,28.18,15.46,22.61
2024,4-Jun,May_2,25.2,19.23,22.06
2024,5-Jun,May_2,25.1,16.94,21.65
2024,6-Jun,May_2,25.58,15.69,20.47
2024,7-Jun,May_2,25.3,12.86,19.89
2024,8-Jun,May_2,23.65,15.33,19.75
2024,9-Jun,May_2,25.11,12.5,18.67
2024,10-Jun,May_2,20.68,10.05,15.54
2024,11-Jun,May_2,24.01,10.6,17.58
2024,12-Jun,May_2,28.55,13.8,21.65
2024,13-Jun,May_2,29.01,16.77,23.58
2024,14-Jun,May_2,29.22,18.14,24.37
2024,15-Jun,May_2,28.52,15.1,22.2
2024,16-Jun,May_2,29.35,16.02,24.02
2024,17-Jun,May_2,30.51,22.87,26.08
2024,18-Jun,May_2,28.03,21.3,24.42
2024,19-Jun,May_2,30.29,20.91,25.64
2024,20-Jun,May_2,31.14,19.87,26.08
2024,21-Jun,May_2,30.8,20.34,25.78
2024,22-Jun,May_2,30.22,20.88,25.94
2024,23-Jun,May_2,28.54,18.98,24.56
2024,24-Jun,May_2,29.55,18.73,24.42
2024,25-Jun,May_2,30.42,21.37,25.23
2024,26-Jun,May_2,27.4,19.51,24.26
2024,27-Jun,May_2,26.04,16.77,20.8
2024,28-Jun,May_2,27.9,16.8,23.24
2024,29-Jun,May_2,29.05,21.62,25.73
2024,30-Jun,May_2,23.52,11.75,19.4
2024,1-Jul,May_2,23.34,10.27,17.48
