grain_weight_mg,grain_area_mm2
48.540,19.500
43.700,18.100
46.940,18.500
42.180,17.000
49.160,19.700
51.680,20.200
50.890,20.000
54.580,20.200
46.960,18.600
42.920,18.100
41.920,16.800
56.220,21.300
44.320,16.900
50.420,19.400
55.300,20.600
43.440,17.500
45.710,17.900
46.210,18.500
42.210,17.400
51.170,19.700
51.800,19.200
45.970,17.400
40.740,16.700
48.310,18.600
49.950,19.600
43.630,17.700
54.000,20.600
47.410,18.500
48.820,19.300
56.310,21.100
52.240,20.100
59.130,21.400
47.700,18.300
53.770,19.700
47.400,17.800
51.250,19.200
50.470,19.300
47.100,18.000
43.620,17.000
43.770,17.400
53.780,19.700
48.260,18.400
47.060,18.300
49.600,18.700
48.860,19.800
46.180,17.600
52.640,19.300
50.530,19.200
50.540,20.000
49.680,19.800
51.800,18.800
46.250,18.100
44.640,17.800
46.100,18.100
51.860,19.800
52.520,19.900
54.980,20.800
47.860,18.600
34.650,15.200
47.610,18.800
45.680,17.700
28.970,13.300
48.790,17.500
44.260,17.900
47.140,18.200
47.030,18.800
52.950,20.200
42.390,16.800
48.660,19.000
44.780,17.700
45.770,18.600
41.830,16.800
46.930,17.700
52.090,20.200
30.980,13.600
54.710,19.900
52.450,19.400
50.200,18.500
46.350,18.300
51.990,19.700
50.460,19.100
47.110,18.300
53.220,19.600
43.550,17.900
53.090,20.600
52.920,20.600
47.300,18.800
49.860,18.400
56.570,21.000
54.910,21.500
41.260,16.700
42.330,17.300
45.990,18.200
53.450,19.800
44.020,17.600
43.290,18.300
50.170,19.300
43.988,17.900
43.659,17.967
44.076,17.300
55.203,20.300
47.426,18.400
44.762,16.850
46.071,17.400
46.126,17.400
46.370,18.300
44.327,18.000
53.222,20.400
44.327,17.950
43.578,17.600
38.419,15.850
57.019,21.350
51.680,19.150
46.055,18.150
48.120,18.300
54.343,20.350
45.191,19.300
53.689,20.100
38.985,16.050
47.090,18.550
45.043,17.950
41.918,17.100
48.213,19.200
50.807,19.500
53.238,20.350
47.095,18.250
48.404,18.500
43.358,17.600
57.004,20.800
47.163,18.800
49.625,19.500
49.667,19.700
51.245,19.500
43.883,17.350
43.935,17.050
51.226,19.700
51.214,19.200
44.529,17.550
45.280,18.050
53.708,19.950
48.366,19.250
44.965,18.150
46.164,18.750
41.504,16.450
38.228,15.950
51.469,20.650
40.573,16.850
40.423,16.400
49.961,19.600
42.931,18.100
44.002,17.350
41.861,17.450
50.936,18.950
49.141,18.600
48.441,18.850
46.271,18.750
49.266,19.100
47.817,18.150
44.903,18.150
46.781,18.300
50.998,19.250
47.848,19.600
47.381,18.450
35.672,15.750
50.912,19.100
43.344,18.300
53.788,19.650
35.218,15.850
41.504,17.650
44.553,17.950
49.465,19.000
48.127,18.850
45.188,18.050
46.437,19.050
41.803,16.800
44.352,17.850
40.873,16.600
48.368,19.150
50.863,19.400
55.353,20.600
44.432,17.300
45.786,18.450
43.623,17.700
54.755,20.600
48.844,18.500
53.028,20.450
53.060,19.900
40.674,16.950
56.900,20.600
44.773,18.500
