date,temp
27-Jan,-4.19
28-Jan,-5.63
29-Jan,-7.56
30-Jan,-3.93
31-Jan,-2.2
1-Feb,2.5
2-Feb,-4.41
3-Feb,-6.99
4-Feb,-9.64
5-Feb,-14.56
6-Feb,-6.35
7-Feb,-8.71
8-Feb,-3.89
9-Feb,0.99
10-Feb,-1.36
11-Feb,2
12-Feb,-6.42
13-Feb,-9.79
14-Feb,-7.39
15-Feb,-0.74
16-Feb,9.1
17-Feb,0.06
18-Feb,-6.81
19-Feb,-6.99
20-Feb,1
21-Feb,7.4
22-Feb,7.54
23-Feb,-4.68
24-Feb,-1.57
25-Feb,-3.71
26-Feb,-4.17
27-Feb,0.11
28-Feb,3.51
1-Mar,7.18
2-Mar,7.19
3-Mar,0.82
4-Mar,2.89
5-Mar,12.9
6-Mar,7.39
7-Mar,-0.24
8-Mar,-1.27
9-Mar,1.52
10-Mar,-0.03
11-Mar,-2.77
12-Mar,-7.41
13-Mar,2.54
14-Mar,7.79
15-Mar,12.32
16-Mar,12.55
17-Mar,13.75
18-Mar,12.38
19-Mar,5.25
20-Mar,8.79
21-Mar,13.17
22-Mar,11.96
23-Mar,10.51
24-Mar,4.28
25-Mar,5.03
26-Mar,0.32
27-Mar,-1.03
28-Mar,0.12
29-Mar,2.81
30-Mar,14.8
31-Mar,3.29
1-Apr,2.87
2-Apr,3.77
3-Apr,7.29
4-Apr,9.28
5-Apr,8.86
6-Apr,9.8
7-Apr,5.55
8-Apr,3.67
9-Apr,4.74
10-Apr,10.94
11-Apr,11.28
12-Apr,15
13-Apr,15.62
14-Apr,6.85
15-Apr,11.07
16-Apr,6.45
17-Apr,4.64
18-Apr,4.44
19-Apr,5.18
20-Apr,9.78
21-Apr,15.58
22-Apr,16.98
23-Apr,20.65
24-Apr,19.96
25-Apr,11.08
26-Apr,6.12
27-Apr,9.2
28-Apr,11.4
29-Apr,15.33
30-Apr,18.98
1-May,11.09
2-May,11.26
3-May,15.1
4-May,12.42
5-May,12.3
6-May,12.78
7-May,13.63
8-May,13.73
9-May,19.05
10-May,23.32
11-May,24.78
12-May,24.15
13-May,23.15
14-May,23.33
15-May,20.3
16-May,17.59
17-May,19.43
18-May,19.36
19-May,21.8
20-May,23.91
21-May,18.62
22-May,14.15
23-May,13.65
24-May,16.33
25-May,20.94
26-May,19.73
27-May,17.11
28-May,17.59
29-May,20.88
30-May,23.37
31-May,24.9
1-Jun,22.61
2-Jun,20.1
3-Jun,19.53
4-Jun,20.98
5-Jun,22.31
6-Jun,20.73
7-Jun,20.09
8-Jun,19.52
9-Jun,19.07
10-Jun,18.44
11-Jun,20.9
